s
Thu Jun 17 23:02:03 2021    tmp

         341526 function calls (333424 primitive calls) in 1.276 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.299    0.299 client.py:567(_readall_chunked)
      215    0.000    0.000    0.292    0.001 client.py:605(_safe_read)
        2    0.000    0.000    0.000    0.000 client.py:729(info)
        1    0.000    0.000    0.000    0.000 client.py:764(getcode)
        1    0.000    0.000    0.000    0.000 client.py:771(HTTPConnection)
        2    0.000    0.000    0.000    0.000 client.py:787(_get_content_length)
        2    0.000    0.000    0.000    0.000 client.py:819(__init__)
        2    0.000    0.000    0.000    0.000 client.py:865(_get_hostport)
        2    0.000    0.000    0.000    0.000 client.py:885(set_debuglevel)
        2    0.000    0.000    0.129    0.065 client.py:919(connect)
        2    0.000    0.000    0.000    0.000 client.py:928(close)
        2    0.000    0.000    0.181    0.090 client.py:942(send)
       10    0.000    0.000    0.000    0.000 client.py:980(_output)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:33(CodingStateMachine)
        9    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 cp949prober.py:34(CP949Prober)
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:1457(CSSMatch)
        1    0.000    0.000    0.000    0.000 css_match.py:1461(SoupSieve)
        1    0.000    0.000    0.000    0.000 css_match.py:358(Inputs)
        1    0.000    0.000    0.000    0.000 css_match.py:459(_Match)
        1    0.000    0.000    0.000    0.000 css_match.py:59(_FakeParent)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        1    0.000    0.000    0.064    0.064 css_parser.py:1(<module>)
       52    0.000    0.000    0.003    0.000 css_parser.py:1012(<listcomp>)
      325    0.001    0.000    0.004    0.000 css_parser.py:1014(selector_iter)
       14    0.000    0.000    0.013    0.001 css_parser.py:1055(process_selectors)
      308    0.000    0.000    0.000    0.000 css_parser.py:239(css_unescape)
        1    0.000    0.000    0.000    0.000 css_parser.py:294(SelectorPattern)
       15    0.000    0.000    0.033    0.002 css_parser.py:297(__init__)
      311    0.000    0.000    0.000    0.000 css_parser.py:303(get_name)
     2251    0.001    0.000    0.002    0.000 css_parser.py:308(match)
        1    0.000    0.000    0.000    0.000 css_parser.py:314(SpecialPseudoPattern)
        1    0.000    0.000    0.018    0.018 css_parser.py:317(__init__)
        1    0.000    0.000    0.000    0.000 css_parser.py:330(get_name)
      273    0.000    0.000    0.000    0.000 css_parser.py:335(match)
        1    0.000    0.000    0.000    0.000 css_parser.py:351(_Selector)
